359.04,833.19,-685.78
357.44,831.79,-688.44
355.85,830.31,-691.05
354.25,828.75,-693.61
352.65,827.11,-696.13
351.05,825.41,-698.59
349.44,823.63,-701
347.82,821.79,-703.36
346.19,819.89,-705.66
344.54,817.93,-707.9
342.88,815.91,-710.07
341.2,813.84,-712.18
339.51,811.71,-714.22
337.8,809.53,-716.2
336.08,807.3,-718.1
334.35,805.03,-719.94
332.6,802.71,-721.71
330.85,800.35,-723.42
329.08,797.95,-725.05
327.28,795.51,-726.58
325.45,793.03,-728.02
323.59,790.51,-729.36
321.7,787.96,-730.57
319.78,785.38,-731.68
317.83,782.78,-732.66
315.85,780.15,-733.52
313.84,777.51,-734.23
311.78,774.86,-734.79
309.68,772.21,-735.19
307.55,769.58,-735.41
305.37,766.97,-735.44
303.14,764.41,-735.24
300.86,761.93,-734.78
298.54,759.56,-734.05
296.22,757.26,-733.12
293.9,755.04,-731.99
291.6,752.89,-730.71
289.33,750.8,-729.28
287.09,748.79,-727.71
284.89,746.82,-726.02
282.73,744.9,-724.23
280.61,743.03,-722.33
278.54,741.2,-720.34
276.52,739.43,-718.27
274.55,737.7,-716.1
272.61,736.02,-713.87
270.73,734.37,-711.58
268.87,732.75,-709.23
267.06,731.16,-706.83
265.3,729.58,-704.38
263.6,728.02,-701.89
261.95,726.46,-699.36
260.36,724.9,-696.79
258.83,723.34,-694.19
257.35,721.77,-691.56
255.94,720.2,-688.89
254.59,718.6,-686.21
253.32,716.96,-683.52
252.12,715.28,-680.82
251.01,713.52,-678.13
250,711.69,-675.45
249.11,709.74,-672.81
248.37,707.63,-670.25
247.77,705.4,-667.76
247.26,703.1,-665.3
246.83,700.75,-662.88
246.46,698.37,-660.49
246.15,695.95,-658.11
245.88,693.53,-655.75
245.63,691.1,-653.38
245.39,688.68,-651.01
245.17,686.26,-648.63
244.95,683.84,-646.24
244.73,681.44,-643.85
244.51,679.05,-641.44
244.27,676.68,-639.01
244.02,674.34,-636.56
243.75,672.03,-634.08
243.43,669.76,-631.57
243.06,667.54,-629.02
242.63,665.36,-626.45
242.13,663.24,-623.84
241.55,661.19,-621.19
240.89,659.19,-618.52
240.15,657.27,-615.82
239.29,655.44,-613.08
238.31,653.72,-610.32
237.19,652.12,-607.53
235.91,650.68,-604.73
234.46,649.42,-601.93
232.78,648.42,-599.15
230.88,647.71,-596.43
228.81,647.24,-593.77
226.61,646.97,-591.19
224.31,646.88,-588.69
221.94,646.93,-586.26
219.49,647.13,-583.91
216.99,647.45,-581.63
214.44,647.86,-579.41
211.85,648.37,-577.27
209.23,648.97,-575.19
206.57,649.66,-573.18
203.89,650.42,-571.24
201.18,651.24,-569.35
198.46,652.1,-567.5
195.72,653,-565.7
192.97,653.94,-563.94
190.2,654.91,-562.22
187.42,655.9,-560.54
184.62,656.92,-558.9
181.8,657.96,-557.3
178.97,659.02,-555.74
176.13,660.1,-554.22
173.27,661.17,-552.73
170.4,662.24,-551.25
167.52,663.29,-549.79
164.62,664.32,-548.34
161.71,665.3,-546.89
158.78,666.22,-545.42
155.84,667.04,-543.91
152.89,667.79,-542.41
149.92,668.49,-540.91
146.94,669.15,-539.42
143.94,669.77,-537.94
140.92,670.36,-536.49
137.88,670.91,-535.07
134.83,671.44,-533.67
131.75,671.94,-532.3
128.67,672.41,-530.95
125.56,672.86,-529.64
122.44,673.31,-528.37
119.31,673.74,-527.12
116.16,674.15,-525.92
112.99,674.52,-524.75
109.8,674.86,-523.62
106.59,675.16,-522.52
103.37,675.41,-521.46
100.14,675.61,-520.44
96.881,675.76,-519.47
93.61,675.85,-518.54
90.323,675.87,-517.68
87.019,675.79,-516.88
83.705,675.64,-516.13
80.386,675.44,-515.42
77.062,675.19,-514.75
73.736,674.91,-514.11
70.407,674.6,-513.49
67.076,674.26,-512.9
63.744,673.9,-512.33
60.411,673.52,-511.77
57.076,673.12,-511.24
53.742,672.72,-510.72
50.406,672.3,-510.21
47.071,671.86,-509.71
43.735,671.42,-509.22
40.399,670.98,-508.74
37.064,670.53,-508.25
33.729,670.08,-507.76
30.395,669.63,-507.27
27.061,669.19,-506.77
23.727,668.75,-506.27
20.391,668.32,-505.77
17.053,667.91,-505.28
13.714,667.51,-504.78
10.374,667.12,-504.28
7.0317,666.75,-503.77
3.6883,666.39,-503.27
0.34243,666.06,-502.76
-3.0063,665.77,-502.25
-6.3576,665.5,-501.75
-9.7121,665.27,-501.24
-13.07,665.09,-500.74
-16.432,664.96,-500.25
-19.799,664.9,-499.78
-23.17,664.9,-499.34
-26.54,664.95,-498.89
-29.909,665.05,-498.44
-33.275,665.18,-497.98
-36.638,665.34,-497.51
